BADANIE;20:51:45;;;;
metoda:;random;;;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt, iterations=15, max_exec_time_s=30, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;;;
;;;;;
9;14094;209;0;0;2 0 1 9 4 5 3 6 7 8 2
10;14427;209;0;0;1 9 4 5 3 6 7 8 2 0 1
11;3278;209;0;0;1 9 4 5 3 6 7 8 2 0 1
12;14163;209;0;0;5 3 6 7 8 2 0 1 9 4 5
13;16520;209;0;0;2 0 1 9 4 5 3 6 7 8 2
14;10313;209;0;0;7 8 2 0 1 9 4 5 3 6 7
15;2185;209;0;0;5 3 6 7 8 2 0 1 9 4 5
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
6704;0;0;0;;
;;;;;
;;;;;
plik:;g/gr11.txt;;;;
wynik optymalny:;115;;;;
liczba wierzcholkow:;11;;;;
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;30000;121;6;5.21739;8 2 6 5 10 3 0 7 9 4 1 8
2;13966;115;0;0;1 8 5 10 2 6 9 4 3 0 7 1
3;30000;122;7;6.08696;7 8 5 4 1 9 6 2 10 3 0 7
4;30000;121;6;5.21739;10 3 0 7 9 4 1 8 2 6 5 10
5;30000;124;9;7.82609;8 6 5 10 2 9 4 3 0 7 1 8
6;30000;123;8;6.95652;5 10 3 0 7 1 9 4 8 2 6 5
7;8411;115;0;0;0 7 1 8 5 10 2 6 9 4 3 0
8;19398;115;0;0;3 0 7 1 8 5 10 2 6 9 4 3
9;30000;121;6;5.21739;7 8 6 5 1 9 4 2 10 3 0 7
10;24504;115;0;0;9 4 3 0 7 1 8 5 10 2 6 9
11;30000;121;6;5.21739;9 4 2 10 3 0 7 8 6 5 1 9
12;30000;122;7;6.08696;10 3 0 7 8 5 4 1 9 6 2 10
13;30000;123;8;6.95652;9 4 8 2 6 5 10 3 0 7 1 9
14;30000;121;6;5.21739;8 2 6 5 10 3 0 7 9 4 1 8
15;30000;122;7;6.08696;5 10 3 0 7 2 6 9 4 1 8 5
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
26418;1.59762;3.19523;1.38923;;
;;;;;#OBL!
;;;;;
plik:;g/gr12.txt;;;;
wynik optymalny:;244;;;;
liczba wierzcholkow:;12;;;;
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;30000;250;6;2.45902;1 9 5 10 4 3 6 7 11 8 2 0 1
2;30000;258;14;5.7377;10 0 7 11 8 2 3 6 1 9 4 5 10
3;30000;258;14;5.7377;11 6 7 8 2 3 9 4 5 10 0 1 11
4;30000;262;18;7.37705;2 7 9 4 3 6 11 8 5 10 0 1 2
5;30000;252;8;3.27869;3 6 7 11 8 2 5 10 0 1 9 4 3
6;30000;254;10;4.09836;0 1 9 5 10 8 2 7 11 6 4 3 0
7;30000;254;10;4.09836;5 10 8 2 7 11 6 4 3 0 1 9 5
8;30000;261;17;6.96721;0 7 11 8 2 9 5 10 4 3 6 1 0
9;30000;256;12;4.91803;2 9 11 6 7 8 5 10 4 3 0 1 2
10;30000;255;11;4.5082;7 11 8 2 9 4 5 10 0 1 3 6 7
11;30000;262;18;7.37705;10 0 1 2 7 9 4 3 6 11 8 5 10
12;30000;254;10;4.09836;5 10 6 7 11 8 0 1 2 3 9 4 5
13;30000;260;16;6.55738;8 1 2 0 7 11 6 4 3 9 5 10 8
14;30000;260;16;6.55738;9 4 7 6 11 8 5 10 0 1 2 3 9
15;30000;261;17;6.96721;7 6 3 9 4 5 10 11 8 0 1 2 7
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
30000;3.64822;7.29644;1.49517;;
;;;;;
;;;;;
plik:;g/gr13.txt;;;;
wynik optymalny:;266;;;;
liczba wierzcholkow:;13;;;;
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;30000;279;13;4.88722;0 1 9 4 3 12 6 7 11 5 10 8 2 0
2;30000;275;9;3.38346;10 8 2 0 1 11 12 6 7 3 9 4 5 10
3;30000;279;13;4.88722;1 2 9 4 5 10 8 11 12 6 7 3 0 1
4;30000;282;16;6.01504;9 4 5 10 11 8 2 3 0 12 7 6 1 9
5;30000;284;18;6.76692;12 7 11 8 2 5 10 6 1 9 4 3 0 12
6;30000;288;22;8.27068;12 6 7 9 4 3 5 10 11 8 2 0 1 12
7;30000;279;13;4.88722;9 4 5 10 8 2 6 7 11 12 3 0 1 9
8;30000;278;12;4.51128;12 6 7 8 2 9 4 3 0 1 5 10 11 12
9;30000;280;14;5.26316;5 10 8 2 0 7 11 12 6 4 3 1 9 5
10;30000;278;12;4.51128;11 6 4 3 8 2 9 5 10 0 1 12 7 11
11;30000;270;4;1.50376;7 11 8 5 10 0 1 2 9 4 3 12 6 7
12;30000;279;13;4.88722;12 3 9 4 5 10 11 8 2 0 7 6 1 12
13;30000;280;14;5.26316;1 3 9 11 12 7 6 4 5 10 8 2 0 1
14;30000;283;17;6.39098;8 2 9 4 5 7 11 12 6 3 0 1 10 8
15;30000;285;19;7.14286;2 0 4 3 9 5 10 6 7 11 8 12 1 2
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
30000;3.88342;7.76684;1.45993;;
;;;;;
;;;;;
BADANIE;21:16:59;;;;
metoda:;random;;;;
konfiguracja:;branches=3         , input_files=g/gr14.txt,g/gr15.txt,g/gr16.txt, iterations=15, max_exec_time_s=30, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;;;
;;;;;
plik:;g/gr14.txt;;;;
wynik optymalny:;279;;;;
liczba wierzcholkow:;14;;;;
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;30000;308;29;10.3943;8 12 6 13 11 9 5 10 4 3 1 2 0 7 8
2;30000;300;21;7.52688;2 0 4 5 10 8 13 11 12 7 6 9 3 1 2
3;30000;286;7;2.50896;12 7 6 13 11 8 5 10 0 1 2 9 4 3 12
4;30000;305;26;9.319;2 3 9 4 5 12 7 11 6 13 10 8 0 1 2
5;30000;311;32;11.4695;6 7 8 13 11 12 4 3 9 10 0 1 2 5 6
6;30000;302;23;8.24373;0 7 6 1 2 3 9 4 5 8 13 11 12 10 0
7;30000;307;28;10.0358;7 6 13 10 8 5 3 0 1 2 9 4 11 12 7
8;30000;306;27;9.67742;11 8 5 10 0 4 3 6 1 2 9 13 12 7 11
