BADANIE;20:21:43;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
5;6441;244;0 1 2 9 4 3 6 7 11 8 5 10 0
6;6443;244;0 1 2 9 4 3 6 7 11 8 5 10 0
7;6438;244;0 1 2 9 4 3 6 7 11 8 5 10 0
8;6713;244;0 1 2 9 4 3 6 7 11 8 5 10 0
9;6422;244;0 1 2 9 4 3 6 7 11 8 5 10 0
10;6398;244;0 1 2 9 4 3 6 7 11 8 5 10 0
11;6454;244;0 1 2 9 4 3 6 7 11 8 5 10 0
12;6415;244;0 1 2 9 4 3 6 7 11 8 5 10 0
13;6397;244;0 1 2 9 4 3 6 7 11 8 5 10 0
14;6398;244;0 1 2 9 4 3 6 7 11 8 5 10 0
15;6394;244;0 1 2 9 4 3 6 7 11 8 5 10 0
sredni czas [ms];;;
6446;;;
;;;
;;;
plik:;g/gr13.txt;;
wynik optymalny:;266;;
liczba wierzcholkow:;13;;
iteracja;czas [ms];wynik;sciezka
1;78768;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
2;78791;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
3;78825;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
4;78682;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
5;78862;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
6;78561;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
7;78949;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
8;78718;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
9;78695;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
10;78614;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
11;78627;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
12;78697;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
13;78488;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
14;78701;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
15;79027;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
sredni czas [ms];;;
78733;;;
;;;
;;;
BADANIE;21:54:21;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr6s.txt,g/gr7s.txt,g/gr8s.txt,g/gr9s.txt,g/gr10s.txt,g/gr11s.txt,g/gr12s.txt,g/gr13s.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr7s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;0;215;0 3 2 4 6 1 5 0
2;0;215;0 3 2 4 6 1 5 0
3;0;215;0 3 2 4 6 1 5 0
4;0;215;0 3 2 4 6 1 5 0
5;0;215;0 3 2 4 6 1 5 0
6;0;215;0 3 2 4 6 1 5 0
7;0;215;0 3 2 4 6 1 5 0
8;0;215;0 3 2 4 6 1 5 0
9;0;215;0 3 2 4 6 1 5 0
10;0;215;0 3 2 4 6 1 5 0
11;0;215;0 3 2 4 6 1 5 0
12;0;215;0 3 2 4 6 1 5 0
13;0;215;0 3 2 4 6 1 5 0
14;0;215;0 3 2 4 6 1 5 0
15;0;215;0 3 2 4 6 1 5 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr8s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;0;202;0 3 2 4 1 6 7 5 0
2;0;202;0 3 2 4 1 6 7 5 0
3;0;202;0 3 2 4 1 6 7 5 0
4;0;202;0 3 2 4 1 6 7 5 0
5;0;202;0 3 2 4 1 6 7 5 0
6;0;202;0 3 2 4 1 6 7 5 0
7;0;202;0 3 2 4 1 6 7 5 0
8;0;202;0 3 2 4 1 6 7 5 0
9;0;202;0 3 2 4 1 6 7 5 0
10;1;202;0 3 2 4 1 6 7 5 0
11;0;202;0 3 2 4 1 6 7 5 0
12;0;202;0 3 2 4 1 6 7 5 0
13;0;202;0 3 2 4 1 6 7 5 0
14;0;202;0 3 2 4 1 6 7 5 0
15;0;202;0 3 2 4 1 6 7 5 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr9s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;6;215;0 3 4 2 8 7 6 1 5 0
2;6;215;0 3 4 2 8 7 6 1 5 0
3;6;215;0 3 4 2 8 7 6 1 5 0
4;6;215;0 3 4 2 8 7 6 1 5 0
5;6;215;0 3 4 2 8 7 6 1 5 0
6;6;215;0 3 4 2 8 7 6 1 5 0
7;6;215;0 3 4 2 8 7 6 1 5 0
8;6;215;0 3 4 2 8 7 6 1 5 0
9;7;215;0 3 4 2 8 7 6 1 5 0
10;7;215;0 3 4 2 8 7 6 1 5 0
