BADANIE;07:22:44;;;;
metoda:;nearest-neighbour;;;;
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;;;
;;;;;
2;52;227;18;8.61244;2 0 1 5 7 6 4 3 9 8 2
3;56;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
4;53;246;37;17.7033;7 6 1 2 0 4 5 3 9 8 7
5;53;246;37;17.7033;7 6 1 2 0 4 5 3 9 8 7
6;52;227;18;8.61244;8 2 0 1 5 7 6 4 3 9 8
7;54;257;48;22.9665;4 5 7 6 1 2 0 8 9 3 4
8;59;230;21;10.0478;0 1 2 7 6 4 5 3 9 8 0
9;53;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
10;52;235;26;12.4402;6 7 8 2 0 1 5 3 9 4 6
11;51;257;48;22.9665;4 5 7 6 1 2 0 8 9 3 4
12;54;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
13;52;230;21;10.0478;0 1 2 7 6 4 5 3 9 8 0
14;53;257;48;22.9665;4 5 7 6 1 2 0 8 9 3 4
15;57;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
sredni czas [us];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
53;31.8667;63.7333;30.4944;;
;;;;;
;;;;;
plik:;g/gr11.txt;;;;
wynik optymalny:;115;;;;
liczba wierzcholkow:;11;;;;
iteracja;czas [us];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;54;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
2;54;142;27;23.4783;2 10 3 0 7 1 9 4 8 5 6 2
3;55;136;21;18.2609;10 3 0 7 1 9 4 2 6 5 8 10
4;56;129;14;12.1739;9 4 2 10 3 0 7 1 5 8 6 9
5;54;149;34;29.5652;3 0 7 1 9 4 2 10 6 5 8 3
6;60;148;33;28.6957;4 2 10 3 0 7 1 9 6 5 8 4
7;58;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
8;60;139;24;20.8696;5 4 2 10 3 0 7 1 9 6 8 5
9;63;139;24;20.8696;5 4 2 10 3 0 7 1 9 6 8 5
10;56;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
11;57;129;14;12.1739;9 4 2 10 3 0 7 1 5 8 6 9
12;59;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
13;55;178;63;54.7826;7 1 9 4 2 10 3 0 8 5 6 7
14;41;129;14;12.1739;9 4 2 10 3 0 7 1 5 8 6 9
15;36;139;24;20.8696;8 5 4 2 10 3 0 7 1 9 6 8
sredni czas [us];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
54;31.0667;62.1333;54.029;;
;;;;;
;;;;;
plik:;g/gr12.txt;;;;
wynik optymalny:;244;;;;
liczba wierzcholkow:;12;;;;
iteracja;czas [us];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;53;277;33;13.5246;3 0 1 2 7 6 4 5 10 8 9 11 3
2;41;283;39;15.9836;10 0 1 2 7 6 4 5 3 9 11 8 10
3;56;268;24;9.83607;9 4 5 10 0 1 2 7 6 11 8 3 9
4;41;277;33;13.5246;3 0 1 2 7 6 4 5 10 8 9 11 3
5;38;260;16;6.55738;11 6 7 8 2 0 1 5 10 4 3 9 11
6;38;283;39;15.9836;10 0 1 2 7 6 4 5 3 9 11 8 10
7;58;283;39;15.9836;10 0 1 2 7 6 4 5 3 9 11 8 10
8;41;271;27;11.0656;6 7 11 8 2 0 1 5 10 4 3 9 6
9;37;271;27;11.0656;6 7 11 8 2 0 1 5 10 4 3 9 6
10;39;275;31;12.7049;8 2 0 1 5 10 4 3 6 7 11 9 8
11;37;268;24;9.83607;9 4 5 10 0 1 2 7 6 11 8 3 9
12;40;306;62;25.4098;1 2 0 7 6 4 5 10 8 9 3 11 1
13;40;306;62;25.4098;1 2 0 7 6 4 5 10 8 9 3 11 1
14;40;293;49;20.082;2 0 1 5 10 8 6 7 11 4 3 9 2
15;56;293;49;20.082;2 0 1 5 10 8 6 7 11 4 3 9 2
