

BADANIE;00:08:17
metoda:;nearest-neighbour
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6.txt
wynik optymalny:;132
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
wynik optymalny:;162
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;162;0;0;0 1 2 7 6 4 5 3 0
2;0;193;31;19.1358;2 0 1 5 7 6 4 3 2
3;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
4;0;162;0;0;3 0 1 2 7 6 4 5 3
5;0;162;0;0;0 1 2 7 6 4 5 3 0
6;0;193;31;19.1358;2 0 1 5 7 6 4 3 2
7;0;171;9;5.55556;6 7 1 2 0 4 5 3 6
8;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
9;0;171;9;5.55556;6 7 1 2 0 4 5 3 6
10;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
11;0;172;10;6.17284;7 6 1 2 0 4 5 3 7
12;0;202;40;24.6914;4 5 7 6 1 2 0 3 4
13;0;162;0;0;3 0 1 2 7 6 4 5 3
14;0;172;10;6.17284;7 6 1 2 0 4 5 3 7
15;0;162;0;0;3 0 1 2 7 6 4 5 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;17.3333;34.6667;21.3992


plik:;g/gr9.txt
wynik optymalny:;193
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;200;7;3.62694;0 1 2 7 6 4 5 3 8 0
2;0;206;13;6.73575;1 2 0 7 6 4 5 3 8 1
3;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
4;0;233;40;20.7254;6 7 8 2 0 1 5 3 4 6
5;0;195;2;1.03627;5 7 6 1 2 0 4 3 8 5
6;0;211;18;9.32642;3 0 1 2 7 6 4 5 8 3
7;0;206;13;6.73575;1 2 0 7 6 4 5 3 8 1
8;0;197;4;2.07254;2 0 1 5 7 6 4 3 8 2
9;0;237;44;22.7979;4 5 7 6 1 2 0 8 3 4
10;0;197;4;2.07254;8 2 0 1 5 7 6 4 3 8
11;0;200;7;3.62694;0 1 2 7 6 4 5 3 8 0
12;0;216;23;11.9171;7 6 1 2 0 4 5 3 8 7
13;0;197;4;2.07254;2 0 1 5 7 6 4 3 8 2
14;0;197;4;2.07254;2 0 1 5 7 6 4 3 8 2
15;0;200;7;3.62694;0 1 2 7 6 4 5 3 8 0
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;15.6;31.2;16.1658


plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;239;30;14.3541;9 4 5 7 6 1 2 0 8 3 9
2;0;231;22;10.5263;3 0 1 2 7 6 4 5 8 9 3
3;0;227;18;8.61244;8 2 0 1 5 7 6 4 3 9 8
4;0;227;18;8.61244;8 2 0 1 5 7 6 4 3 9 8
5;0;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
6;0;230;21;10.0478;0 1 2 7 6 4 5 3 9 8 0
7;0;230;21;10.0478;0 1 2 7 6 4 5 3 9 8 0
8;0;246;37;17.7033;7 6 1 2 0 4 5 3 9 8 7
9;0;235;26;12.4402;6 7 8 2 0 1 5 3 9 4 6
10;0;235;26;12.4402;6 7 8 2 0 1 5 3 9 4 6
11;0;225;16;7.6555;5 7 6 1 2 0 4 3 9 8 5
12;0;236;27;12.9187;1 2 0 7 6 4 5 3 9 8 1
13;0;227;18;8.61244;8 2 0 1 5 7 6 4 3 9 8
14;0;230;21;10.0478;0 1 2 7 6 4 5 3 9 8 0
15;0;231;22;10.5263;3 0 1 2 7 6 4 5 8 9 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;23.3333;46.6667;22.3285


plik:;g/gr11.txt
wynik optymalny:;115
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
2;0;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
3;0;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
4;0;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
5;0;142;27;23.4783;2 10 3 0 7 1 9 4 8 5 6 2
6;0;146;31;26.9565;1 9 4 2 10 3 0 7 5 8 6 1
7;0;139;24;20.8696;8 5 4 2 10 3 0 7 1 9 6 8
8;0;178;63;54.7826;7 1 9 4 2 10 3 0 8 5 6 7
9;0;149;34;29.5652;3 0 7 1 9 4 2 10 6 5 8 3
10;0;142;27;23.4783;2 10 3 0 7 1 9 4 8 5 6 2
11;0;139;24;20.8696;5 4 2 10 3 0 7 1 9 6 8 5
12;0;139;24;20.8696;5 4 2 10 3 0 7 1 9 6 8 5
13;0;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
14;0;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
15;0;171;56;48.6957;0 7 1 9 4 2 10 3 8 5 6 0
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;39.7333;79.4667;69.1014


plik:;g/gr12.txt
wynik optymalny:;244
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;268;24;9.83607;9 4 5 10 0 1 2 7 6 11 8 3 9
2;0;293;49;20.082;7 6 1 2 0 4 5 10 8 9 3 11 7
3;0;308;64;26.2295;0 1 2 7 6 4 5 10 8 9 3 11 0
4;0;260;16;6.55738;11 6 7 8 2 0 1 5 10 4 3 9 11
5;0;293;49;20.082;7 6 1 2 0 4 5 10 8 9 3 11 7
6;0;268;24;9.83607;9 4 5 10 0 1 2 7 6 11 8 3 9
7;0;256;12;4.91803;5 10 0 1 2 7 6 4 3 9 11 8 5
8;0;293;49;20.082;7 6 1 2 0 4 5 10 8 9 3 11 7
9;0;271;27;11.0656;6 7 11 8 2 0 1 5 10 4 3 9 6
10;0;293;49;20.082;7 6 1 2 0 4 5 10 8 9 3 11 7
11;0;275;31;12.7049;8 2 0 1 5 10 4 3 6 7 11 9 8
12;0;308;64;26.2295;0 1 2 7 6 4 5 10 8 9 3 11 0
13;0;260;16;6.55738;11 6 7 8 2 0 1 5 10 4 3 9 11
14;0;283;39;15.9836;10 0 1 2 7 6 4 5 3 9 11 8 10
15;0;277;33;13.5246;3 0 1 2 7 6 4 5 10 8 9 11 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;36.4;72.8;29.8361


plik:;g/gr13.txt
wynik optymalny:;266
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
2;0;309;43;16.1654;2 0 1 12 7 6 4 5 10 8 9 3 11 2
3;0;292;26;9.77444;9 4 5 10 0 1 2 7 6 11 12 3 8 9
4;0;309;43;16.1654;2 0 1 12 7 6 4 5 10 8 9 3 11 2
5;0;318;52;19.5489;10 0 1 2 7 6 4 5 3 9 11 12 8 10
6;0;303;37;13.9098;7 6 1 2 0 12 10 8 5 3 9 4 11 7
7;0;303;37;13.9098;11 12 7 6 1 2 0 4 5 10 8 9 3 11
8;0;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
9;0;303;37;13.9098;12 7 6 1 2 0 4 5 10 8 9 3 11 12
10;0;309;43;16.1654;2 0 1 12 7 6 4 5 10 8 9 3 11 2
11;0;307;41;15.4135;0 1 2 7 6 4 5 10 8 12 3 9 11 0
12;0;303;37;13.9098;7 6 1 2 0 12 10 8 5 3 9 4 11 7
13;0;309;43;16.1654;2 0 1 12 7 6 4 5 10 8 9 3 11 2
14;0;300;34;12.782;6 7 11 12 10 0 1 2 5 3 9 4 8 6
15;0;307;41;15.4135;4 5 10 0 1 2 7 6 11 12 3 9 8 4
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;39.0667;78.1333;29.3734


plik:;g/gr14.txt
wynik optymalny:;279
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;311;32;11.4695;8 2 0 1 12 7 6 13 11 10 4 5 3 9 8
2;0;308;29;10.3943;2 0 1 12 7 6 13 11 8 5 10 4 3 9 2
3;0;307;28;10.0358;12 7 6 1 2 0 4 5 10 13 11 8 9 3 12
4;0;319;40;14.3369;10 0 1 2 7 6 13 11 12 3 9 4 5 8 10
5;0;307;28;10.0358;13 11 12 7 6 1 2 0 4 5 10 8 9 3 13
6;0;301;22;7.8853;0 1 2 7 6 13 11 12 10 8 5 3 9 4 0
7;0;318;39;13.9785;4 5 10 0 1 2 7 6 13 11 12 3 9 8 4
8;0;301;22;7.8853;3 0 1 2 7 6 13 11 12 10 8 5 9 4 3
9;0;307;28;10.0358;12 7 6 1 2 0 4 5 10 13 11 8 9 3 12
10;0;303;24;8.60215;9 4 5 10 0 1 2 7 6 13 11 12 3 8 9
11;0;319;40;14.3369;10 0 1 2 7 6 13 11 12 3 9 4 5 8 10
12;0;324;45;16.129;11 12 7 6 1 2 0 4 5 10 13 3 9 8 11
13;0;301;22;7.8853;3 0 1 2 7 6 13 11 12 10 8 5 9 4 3
14;0;318;39;13.9785;4 5 10 0 1 2 7 6 13 11 12 3 9 8 4
15;0;319;40;14.3369;10 0 1 2 7 6 13 11 12 3 9 4 5 8 10
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;31.8667;63.7333;22.8435


plik:;g/gr15.txt
wynik optymalny:;303
liczba wierzcholkow:;15
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;315;12;3.9604;5 10 0 1 2 14 7 6 13 11 12 3 9 4 8 5
2;0;356;53;17.4917;1 2 0 7 6 13 11 12 10 8 5 3 9 4 14 1
3;0;366;63;20.7921;11 12 7 6 1 2 0 4 5 10 13 3 9 14 8 11
4;0;356;53;17.4917;1 2 0 7 6 13 11 12 10 8 5 3 9 4 14 1
5;0;366;63;20.7921;11 12 7 6 1 2 0 4 5 10 13 3 9 14 8 11
6;0;318;15;4.9505;3 0 1 2 14 7 6 13 11 12 10 8 5 9 4 3
7;0;356;53;17.4917;1 2 0 7 6 13 11 12 10 8 5 3 9 4 14 1
8;0;318;15;4.9505;3 0 1 2 14 7 6 13 11 12 10 8 5 9 4 3
9;0;341;38;12.5413;7 6 1 2 0 12 10 13 11 8 5 3 9 4 14 7
10;0;341;38;12.5413;7 6 1 2 0 12 10 13 11 8 5 3 9 4 14 7
11;0;335;32;10.5611;4 5 10 0 1 2 14 7 6 13 11 12 3 9 8 4
12;0;318;15;4.9505;3 0 1 2 14 7 6 13 11 12 10 8 5 9 4 3
13;0;343;40;13.2013;12 7 6 1 2 0 4 5 10 13 11 8 14 3 9 12
14;0;341;38;12.5413;7 6 1 2 0 12 10 13 11 8 5 3 9 4 14 7
15;0;341;38;12.5413;14 7 6 1 2 0 12 10 13 11 8 5 3 9 4 14
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;37.7333;75.4667;24.9065


plik:;g/gr16.txt
wynik optymalny:;328
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;380;52;15.8537;11 12 7 6 1 2 0 4 5 10 13 15 9 3 8 14 11
2;0;356;28;8.53659;7 6 1 2 0 12 10 13 11 15 9 4 5 3 8 14 7
3;0;357;29;8.84146;4 5 10 0 1 2 14 7 6 13 11 12 15 9 3 8 4
4;0;355;27;8.23171;9 4 5 10 0 1 2 14 7 6 13 11 12 15 3 8 9
5;0;356;28;8.53659;14 7 6 1 2 0 12 10 13 11 15 9 4 5 3 8 14
6;0;359;31;9.45122;12 7 6 1 2 0 4 5 10 13 11 15 9 3 8 14 12
7;0;357;29;8.84146;4 5 10 0 1 2 14 7 6 13 11 12 15 9 3 8 4
8;0;356;28;8.53659;14 7 6 1 2 0 12 10 13 11 15 9 4 5 3 8 14
9;0;373;45;13.7195;8 2 0 1 12 7 6 13 11 15 9 4 5 10 3 14 8
10;0;380;52;15.8537;11 12 7 6 1 2 0 4 5 10 13 15 9 3 8 14 11
11;0;356;28;8.53659;7 6 1 2 0 12 10 13 11 15 9 4 5 3 8 14 7
12;0;345;17;5.18293;3 0 1 2 14 7 6 13 11 12 10 8 5 15 9 4 3
13;0;363;35;10.6707;2 0 1 12 7 6 13 11 15 9 4 5 10 8 14 3 2
14;0;354;26;7.92683;13 11 12 7 6 1 2 0 4 5 10 8 14 3 9 15 13
15;0;380;52;15.8537;11 12 7 6 1 2 0 4 5 10 13 15 9 3 8 14 11
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;33.8;67.6;20.6098


plik:;g/gr17.txt
wynik optymalny:;344
liczba wierzcholkow:;17
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;376;32;9.30233;14 7 6 1 2 0 12 10 16 4 5 13 11 15 9 3 8 14
2;0;364;20;5.81395;16 4 5 10 0 1 2 14 7 6 13 11 12 15 9 3 8 16
3;0;412;68;19.7674;1 2 0 7 6 13 11 12 10 16 4 5 3 9 15 14 8 1
4;0;358;14;4.06977;5 10 16 4 3 0 1 2 14 7 6 13 11 12 15 9 8 5
5;0;386;42;12.2093;2 0 1 12 7 6 13 11 15 9 4 5 10 16 8 14 3 2
6;0;369;25;7.26744;3 0 1 2 14 7 6 13 11 12 10 16 4 5 8 15 9 3
7;0;376;32;9.30233;14 7 6 1 2 0 12 10 16 4 5 13 11 15 9 3 8 14
8;0;412;68;19.7674;1 2 0 7 6 13 11 12 10 16 4 5 3 9 15 14 8 1
9;0;376;32;9.30233;14 7 6 1 2 0 12 10 16 4 5 13 11 15 9 3 8 14
10;0;377;33;9.59302;10 16 4 5 7 6 1 2 0 12 15 13 11 8 14 3 9 10
11;0;377;33;9.59302;9 4 5 10 16 0 1 2 14 7 6 13 11 12 15 3 8 9
12;0;377;33;9.59302;6 7 16 4 5 10 0 1 2 14 13 11 12 15 9 3 8 6
13;0;377;33;9.59302;10 16 4 5 7 6 1 2 0 12 15 13 11 8 14 3 9 10
14;0;386;42;12.2093;2 0 1 12 7 6 13 11 15 9 4 5 10 16 8 14 3 2
15;0;374;30;8.72093;15 12 7 6 1 2 0 4 5 10 16 9 13 11 8 14 3 15
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;35.8;71.6;20.814


plik:;g/gr18.txt
wynik optymalny:;141
liczba wierzcholkow:;18
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;164;23;16.3121;11 17 12 16 0 7 9 10 6 2 5 8 4 1 14 13 3 15 11
2;0;180;39;27.6596;8 4 2 5 9 10 6 7 17 12 16 11 15 1 14 13 3 0 8
3;0;180;39;27.6596;8 4 2 5 9 10 6 7 17 12 16 11 15 1 14 13 3 0 8
4;0;205;64;45.3901;16 11 7 9 10 6 2 5 8 4 1 12 13 3 15 17 14 0 16
5;0;177;36;25.5319;13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 17 14 0 13
6;0;206;65;46.0993;0 7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 14 0
7;0;213;72;51.0638;5 9 10 6 7 17 12 16 11 15 1 8 4 2 14 13 3 0 5
8;0;182;41;29.078;9 10 6 7 17 12 16 11 5 8 4 2 14 13 3 15 1 0 9
9;0;182;41;29.078;9 10 6 7 17 12 16 11 5 8 4 2 14 13 3 15 1 0 9
10;0;180;39;27.6596;8 4 2 5 9 10 6 7 17 12 16 11 15 1 14 13 3 0 8
11;0;197;56;39.7163;6 7 9 10 17 12 16 11 5 8 4 2 14 13 3 15 1 0 6
12;0;175;34;24.1135;14 9 10 6 7 17 12 16 11 5 8 4 2 0 13 3 15 1 14
13;0;213;72;51.0638;5 9 10 6 7 17 12 16 11 15 1 8 4 2 14 13 3 0 5
14;0;213;72;51.0638;5 9 10 6 7 17 12 16 11 15 1 8 4 2 14 13 3 0 5
15;0;198;57;40.4255;17 12 16 11 7 9 10 6 2 5 8 4 1 14 13 3 15 0 17
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;50;100;70.922


plik:;g/gr19.txt
wynik optymalny:;147
liczba wierzcholkow:;19
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;188;41;27.8912;17 12 16 11 7 9 10 6 2 5 8 4 1 14 13 3 15 18 0 17
2;0;254;107;72.7891;7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 18 0 14 7
3;0;205;58;39.4558;16 11 7 9 10 6 2 5 8 4 1 12 13 3 15 17 14 0 18 16
4;0;218;71;48.2993;18 0 7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 14 18
5;0;250;103;70.068;15 1 12 16 11 7 9 10 6 2 5 8 4 17 3 13 18 0 14 15
6;0;185;38;25.8503;9 10 6 7 17 12 16 11 18 0 13 3 15 1 8 4 2 5 14 9
7;0;153;6;4.08163;14 4 2 5 9 10 6 7 17 12 16 11 18 0 13 3 15 1 8 14
8;0;196;49;33.3333;3 15 1 12 16 11 7 9 10 6 2 5 8 4 17 14 13 18 0 3
9;0;223;76;51.7007;6 7 9 10 17 12 16 11 18 0 13 3 15 1 8 4 2 5 14 6
10;0;153;6;4.08163;4 2 5 9 10 6 7 17 12 16 11 18 0 13 3 15 1 8 14 4
11;0;205;58;39.4558;16 11 7 9 10 6 2 5 8 4 1 12 13 3 15 17 14 0 18 16
12;0;188;41;27.8912;17 12 16 11 7 9 10 6 2 5 8 4 1 14 13 3 15 18 0 17
13;0;184;37;25.1701;5 9 10 6 7 17 12 16 11 18 0 15 1 8 4 2 14 13 3 5
14;0;153;6;4.08163;4 2 5 9 10 6 7 17 12 16 11 18 0 13 3 15 1 8 14 4
15;0;254;107;72.7891;7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 18 0 14 7
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;53.6;107.2;72.9252


plik:;g/gr20.txt
wynik optymalny:;148
liczba wierzcholkow:;20
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;173;25;16.8919;0 7 9 10 6 2 5 8 4 19 13 3 15 1 12 16 11 17 14 18 0
2;0;189;41;27.7027;19 13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 17 14 0 18 19
3;0;206;58;39.1892;11 17 12 16 0 7 9 10 6 2 5 8 4 19 13 3 15 1 14 18 11
4;0;191;43;29.0541;13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 19 17 14 0 18 13
5;0;191;43;29.0541;13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 19 17 14 0 18 13
6;0;209;61;41.2162;3 15 1 12 16 11 7 9 10 6 2 5 8 4 19 13 18 0 17 14 3
7;0;200;52;35.1351;16 11 7 9 10 6 2 5 8 4 19 13 3 15 1 12 14 0 18 17 16
8;0;225;77;52.027;6 7 9 10 17 12 16 11 18 0 19 13 3 15 1 8 4 2 5 14 6
9;0;208;60;40.5405;10 6 7 9 14 19 13 3 15 1 12 16 11 17 2 5 8 4 0 18 10
10;0;216;68;45.9459;8 4 19 13 3 15 1 12 16 11 7 9 10 6 2 5 18 0 17 14 8
11;0;216;68;45.9459;7 9 10 6 2 5 8 4 19 13 3 15 1 12 16 11 17 14 0 18 7
12;0;216;68;45.9459;7 9 10 6 2 5 8 4 19 13 3 15 1 12 16 11 17 14 0 18 7
13;0;198;50;33.7838;5 9 10 6 7 17 12 16 11 18 0 19 13 3 15 1 8 4 2 14 5
14;0;225;77;52.027;6 7 9 10 17 12 16 11 18 0 19 13 3 15 1 8 4 2 5 14 6
15;0;210;62;41.8919;1 12 16 11 7 9 10 6 2 5 8 4 19 13 3 15 17 14 0 18 1
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;56.8667;113.733;76.8468


BADANIE;01:37:50
metoda:;nearest-neighbour
konfiguracja:;branches=2         , input_files=g/gr6s.txt,g/gr7s.txt,g/gr8s.txt,g/gr9s.txt,g/gr10s.txt,g/gr11s.txt,g/gr12s.txt,g/gr13s.txt,g/gr14s.txt,g/gr15s.txt,g/gr16s.txt,g/gr17s.txt,g/gr18s.txt,g/gr19s.txt,g/gr20s.txt, iterations=15, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6s.txt
wynik optymalny:;158
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;1;192;34;21.519;2 4 3 0 5 1 2
2;0;192;34;21.519;2 4 3 0 5 1 2
3;0;158;0;0;4 2 3 0 5 1 4
4;0;192;34;21.519;2 4 3 0 5 1 2
5;0;216;58;36.7089;0 3 4 2 5 1 0
6;0;158;0;0;4 2 3 0 5 1 4
7;0;199;41;25.9494;1 3 0 5 4 2 1
8;0;160;2;1.26582;5 1 3 0 2 4 5
9;0;158;0;0;4 2 3 0 5 1 4
10;0;216;58;36.7089;0 3 4 2 5 1 0
11;0;160;2;1.26582;5 1 3 0 2 4 5
12;0;199;41;25.9494;1 3 0 5 4 2 1
13;0;192;34;21.519;2 4 3 0 5 1 2
14;0;158;0;0;4 2 3 0 5 1 4
15;0;158;0;0;3 0 5 1 4 2 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;22.5333;45.0667;28.5232


plik:;g/gr7s.txt
wynik optymalny:;215
liczba wierzcholkow:;7
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;276;61;28.3721;0 3 4 2 5 1 6 0
2;0;257;42;19.5349;1 3 0 5 4 2 6 1
3;0;257;42;19.5349;1 3 0 5 4 2 6 1
4;0;276;61;28.3721;0 3 4 2 5 1 6 0
5;0;215;0;0;4 2 3 0 5 1 6 4
6;0;257;42;19.5349;1 3 0 5 4 2 6 1
7;0;215;0;0;3 0 5 1 6 4 2 3
8;0;257;42;19.5349;6 1 3 0 5 4 2 6
9;0;257;42;19.5349;6 1 3 0 5 4 2 6
10;0;215;0;0;4 2 3 0 5 1 6 4
11;0;257;42;19.5349;1 3 0 5 4 2 6 1
12;0;276;61;28.3721;0 3 4 2 5 1 6 0
13;0;250;35;16.2791;2 4 3 0 5 1 6 2
14;0;276;61;28.3721;0 3 4 2 5 1 6 0
15;0;253;38;17.6744;5 1 3 0 2 4 6 5
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;37.9333;75.8667;35.2868


plik:;g/gr8s.txt
wynik optymalny:;202
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;225;23;11.3861;6 7 5 1 3 0 2 4 6
2;0;240;38;18.8119;7 6 1 3 0 5 4 2 7
3;0;236;34;16.8317;2 4 3 0 5 7 6 1 2
4;0;202;0;0;3 0 5 7 6 1 4 2 3
5;0;260;58;28.7129;0 3 4 2 5 7 6 1 0
6;0;204;2;0.990099;5 7 6 1 3 0 2 4 5
7;0;202;0;0;3 0 5 7 6 1 4 2 3
8;0;260;58;28.7129;0 3 4 2 5 7 6 1 0
9;0;202;0;0;4 2 3 0 5 7 6 1 4
10;0;202;0;0;3 0 5 7 6 1 4 2 3
11;0;264;62;30.6931;1 3 0 5 7 6 4 2 1
12;0;264;62;30.6931;1 3 0 5 7 6 4 2 1
13;0;260;58;28.7129;0 3 4 2 5 7 6 1 0
14;0;260;58;28.7129;0 3 4 2 5 7 6 1 0
15;0;202;0;0;3 0 5 7 6 1 4 2 3
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;30.2;60.4;29.901


plik:;g/gr9s.txt
wynik optymalny:;215
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;244;29;13.4884;5 7 6 1 3 0 2 4 8 5
2;0;215;0;0;0 3 4 2 8 7 6 1 5 0
3;0;216;1;0.465116;6 7 8 4 2 3 0 5 1 6
4;0;222;7;3.25581;8 7 6 1 3 0 5 4 2 8
5;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
6;0;215;0;0;0 3 4 2 8 7 6 1 5 0
7;0;215;0;0;0 3 4 2 8 7 6 1 5 0
8;0;259;44;20.4651;2 4 3 0 5 7 6 1 8 2
9;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
10;0;215;0;0;0 3 4 2 8 7 6 1 5 0
11;0;244;29;13.4884;5 7 6 1 3 0 2 4 8 5
12;0;260;45;20.9302;4 2 3 0 5 7 6 1 8 4
13;0;260;45;20.9302;4 2 3 0 5 7 6 1 8 4
14;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
15;0;215;0;0;0 3 4 2 8 7 6 1 5 0
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;27.9333;55.8667;25.9845


plik:;g/gr10s.txt
wynik optymalny:;212
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;257;45;21.2264;4 2 3 0 5 7 6 9 1 8 4
2;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
3;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
4;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
5;0;257;45;21.2264;4 2 3 0 5 7 6 9 1 8 4
6;0;219;7;3.30189;7 6 9 1 3 0 5 4 2 8 7
7;0;257;45;21.2264;9 1 3 0 5 7 6 8 4 2 9
8;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
9;0;257;45;21.2264;9 1 3 0 5 7 6 8 4 2 9
10;0;257;45;21.2264;9 1 3 0 5 7 6 8 4 2 9
11;0;257;45;21.2264;4 2 3 0 5 7 6 9 1 8 4
12;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
13;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
14;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
15;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;32.0667;64.1333;30.2516


plik:;g/gr11s.txt
wynik optymalny:;251
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;251;0;0;1 8 4 6 2 9 7 5 3 10 0 1
2;0;251;0;0;5 3 10 0 1 8 4 6 2 9 7 5
3;0;251;0;0;5 3 10 0 1 8 4 6 2 9 7 5
4;0;251;0;0;9 7 5 3 10 0 1 8 4 6 2 9
5;0;251;0;0;1 8 4 6 2 9 7 5 3 10 0 1
6;0;283;32;12.749;5 3 10 0 1 7 9 8 4 6 2 5
7;0;283;32;12.749;8 4 6 2 9 7 1 0 10 3 5 8
8;0;283;32;12.749;3 5 7 9 8 4 6 2 1 0 10 3
