BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
15;15;244;6 7 11 8 5 10 0 1 2 9 4 3 6
sredni czas [ms];;;
18;;;
;;;
;;;
plik:;g/gr13.txt;;
wynik optymalny:;266;;
liczba wierzcholkow:;13;;
iteracja;czas [ms];wynik;sciezka
1;49;266;4 3 9 5 10 8 2 0 1 12 7 11 6 4
2;23;266;1 12 7 11 6 4 3 9 5 10 8 2 0 1
3;23;266;1 12 7 11 6 4 3 9 5 10 8 2 0 1
4;36;266;6 4 3 9 5 10 8 2 0 1 12 7 11 6
5;33;266;11 6 4 3 9 5 10 8 2 0 1 12 7 11
6;35;266;12 7 11 6 4 3 9 5 10 8 2 0 1 12
7;47;266;10 8 2 0 1 12 7 11 6 4 3 9 5 10
8;35;266;11 6 4 3 9 5 10 8 2 0 1 12 7 11
9;36;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
10;35;266;6 4 3 9 5 10 8 2 0 1 12 7 11 6
11;35;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
12;35;266;12 7 11 6 4 3 9 5 10 8 2 0 1 12
13;49;266;2 0 1 12 7 11 6 4 3 9 5 10 8 2
14;36;266;12 7 11 6 4 3 9 5 10 8 2 0 1 12
15;36;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
sredni czas [ms];;;
36;;;
;;;
;;;
plik:;g/gr14.txt;;
wynik optymalny:;279;;
liczba wierzcholkow:;14;;
iteracja;czas [ms];wynik;sciezka
1;53;279;12 7 6 4 3 0 1 2 9 5 10 8 13 11 12
2;52;279;13 11 12 7 6 4 3 0 1 2 9 5 10 8 13
3;61;279;7 6 4 3 0 1 2 9 5 10 8 13 11 12 7
4;42;279;6 4 3 0 1 2 9 5 10 8 13 11 12 7 6
5;61;279;11 12 7 6 4 3 0 1 2 9 5 10 8 13 11
6;45;279;1 2 9 5 10 8 13 11 12 7 6 4 3 0 1
7;55;279;5 10 8 13 11 12 7 6 4 3 0 1 2 9 5
8;53;279;12 7 6 4 3 0 1 2 9 5 10 8 13 11 12
9;45;279;3 0 1 2 9 5 10 8 13 11 12 7 6 4 3
10;55;279;0 1 2 9 5 10 8 13 11 12 7 6 4 3 0
11;60;279;11 12 7 6 4 3 0 1 2 9 5 10 8 13 11
12;60;279;11 12 7 6 4 3 0 1 2 9 5 10 8 13 11
13;49;279;13 11 12 7 6 4 3 0 1 2 9 5 10 8 13
14;45;279;3 0 1 2 9 5 10 8 13 11 12 7 6 4 3
15;40;279;6 4 3 0 1 2 9 5 10 8 13 11 12 7 6
sredni czas [ms];;;
51;;;
;;;
;;;
plik:;g/gr15.txt;;
wynik optymalny:;303;;
liczba wierzcholkow:;15;;
iteracja;czas [ms];wynik;sciezka
1;100;303;3 9 5 10 0 1 2 14 7 8 13 11 12 6 4 3
2;62;303;1 2 14 7 8 13 11 12 6 4 3 9 5 10 0 1
3;102;303;14 7 8 13 11 12 6 4 3 9 5 10 0 1 2 14
4;71;303;2 14 7 8 13 11 12 6 4 3 9 5 10 0 1 2
5;98;303;3 9 5 10 0 1 2 14 7 8 13 11 12 6 4 3
6;77;303;11 12 6 4 3 9 5 10 0 1 2 14 7 8 13 11
7;77;303;11 12 6 4 3 9 5 10 0 1 2 14 7 8 13 11
8;65;303;6 4 3 9 5 10 0 1 2 14 7 8 13 11 12 6
9;96;303;3 9 5 10 0 1 2 14 7 8 13 11 12 6 4 3
10;109;303;10 0 1 2 14 7 8 13 11 12 6 4 3 9 5 10
11;100;303;3 9 5 10 0 1 2 14 7 8 13 11 12 6 4 3
12;74;303;0 1 2 14 7 8 13 11 12 6 4 3 9 5 10 0
13;71;303;0 1 2 14 7 8 13 11 12 6 4 3 9 5 10 0
14;82;303;13 11 12 6 4 3 9 5 10 0 1 2 14 7 8 13
15;70;303;0 1 2 14 7 8 13 11 12 6 4 3 9 5 10 0
sredni czas [ms];;;
83;;;
;;;
;;;
plik:;g/gr16.txt;;
wynik optymalny:;328;;
liczba wierzcholkow:;16;;
iteracja;czas [ms];wynik;sciezka
1;133;328;15 12 6 4 3 9 5 10 0 1 2 14 7 8 13 11 15
2;139;328;4 3 9 5 10 0 1 2 14 7 8 13 11 15 12 6 4
3;79;328;12 6 4 3 9 5 10 0 1 2 14 7 8 13 11 15 12
4;213;328;10 0 1 2 14 7 8 13 11 15 12 6 4 3 9 5 10
5;254;328;5 10 0 1 2 14 7 8 13 11 15 12 6 4 3 9 5
6;115;328;13 11 15 12 6 4 3 9 5 10 0 1 2 14 7 8 13
7;171;328;3 9 5 10 0 1 2 14 7 8 13 11 15 12 6 4 3
8;88;328;8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7 8
9;157;328;7 8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7
10;147;328;0 1 2 14 7 8 13 11 15 12 6 4 3 9 5 10 0
11;256;328;5 10 0 1 2 14 7 8 13 11 15 12 6 4 3 9 5
12;215;328;10 0 1 2 14 7 8 13 11 15 12 6 4 3 9 5 10
13;165;328;14 7 8 13 11 15 12 6 4 3 9 5 10 0 1 2 14
14;117;328;6 4 3 9 5 10 0 1 2 14 7 8 13 11 15 12 6
15;135;328;4 3 9 5 10 0 1 2 14 7 8 13 11 15 12 6 4
sredni czas [ms];;;
158;;;
;;;
;;;
plik:;g/gr17.txt;;
wynik optymalny:;344;;
liczba wierzcholkow:;17;;
iteracja;czas [ms];wynik;sciezka
1;214;344;10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10
2;162;344;6 4 3 0 1 2 14 7 16 9 5 10 8 13 11 15 12 6
3;210;344;10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10
4;202;344;14 7 16 9 5 10 8 13 11 15 12 6 4 3 0 1 2 14
5;174;344;1 2 14 7 16 9 5 10 8 13 11 15 12 6 4 3 0 1
6;240;344;13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8 13
7;331;344;3 0 1 2 14 7 16 9 5 10 8 13 11 15 12 6 4 3
8;307;344;15 12 6 4 3 0 1 2 14 7 16 9 5 10 8 13 11 15
9;171;344;8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8
10;327;344;3 0 1 2 14 7 16 9 5 10 8 13 11 15 12 6 4 3
11;211;344;10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10
12;305;344;5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5
13;222;344;11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8 13 11
14;331;344;16 9 5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16
15;213;344;2 14 7 16 9 5 10 8 13 11 15 12 6 4 3 0 1 2
sredni czas [ms];;;
241;;;
;;;
;;;
plik:;g/gr18.txt;;
wynik optymalny:;141;;
liczba wierzcholkow:;18;;
iteracja;czas [ms];wynik;sciezka
1;461;141;1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1
2;221;141;11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1 11
3;338;141;17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17
4;230;141;15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15
5;432;141;12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12
6;294;141;4 1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4
7;433;141;12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12
8;226;141;11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1 11
9;320;141;0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0
10;215;141;2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15 2
11;223;141;15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15
12;322;141;0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0
13;399;141;5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5
14;226;141;15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15
15;424;141;16 0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12 16
sredni czas [ms];;;
317;;;
;;;
;;;
plik:;g/gr19.txt;;
wynik optymalny:;147;;
liczba wierzcholkow:;19;;
iteracja;czas [ms];wynik;sciezka
1;371;147;10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10
2;385;147;8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8
3;276;147;2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2
4;441;147;7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16 0 7
5;467;147;16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16
6;282;147;2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2
7;384;147;5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5
8;501;147;14 4 2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14
9;263;147;11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11
10;435;147;1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1
11;265;147;11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11
12;384;147;8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8
13;478;147;17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17
14;366;147;18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18
15;297;147;0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16 0
sredni czas [ms];;;
373;;;
;;;
;;;
plik:;g/gr20.txt;;
wynik optymalny:;148;;
liczba wierzcholkow:;20;;
iteracja;czas [ms];wynik;sciezka
1;384;148;2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2
2;534;148;14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8 14
3;612;148;9 10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9
4;523;148;8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8
5;560;148;10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10
6;513;148;5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5
7;568;148;10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10
8;511;148;8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8
9;428;148;15 1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15
10;516;148;1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1
11;657;148;6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6
12;431;148;15 1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15
13;833;148;13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13
14;523;148;1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1
15;419;148;18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18
sredni czas [ms];;;
534;;;
;;;
;;;
BADANIE;00:13:21;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr6.txt;;
wynik optymalny:;132;;
liczba wierzcholkow:;6;;
iteracja;czas [ms];wynik;sciezka
1;6;132;5 0 1 2 3 4 5
2;4;132;0 1 2 3 4 5 0
3;2;132;0 1 2 3 4 5 0
4;2;132;2 3 4 5 0 1 2
5;2;132;5 0 1 2 3 4 5
6;2;132;3 4 5 0 1 2 3
7;2;132;5 0 1 2 3 4 5
8;2;132;2 3 4 5 0 1 2
9;3;132;1 2 3 4 5 0 1
10;2;132;1 2 3 4 5 0 1
11;3;132;0 1 2 3 4 5 0
12;2;132;0 1 2 3 4 5 0
13;2;132;5 0 1 2 3 4 5
14;2;132;0 1 2 3 4 5 0
15;3;132;0 1 2 3 4 5 0
sredni czas [ms];;;
2;;;
;;;
;;;
plik:;g/gr7.txt;;
wynik optymalny:;146;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;17;146;0 4 5 3 6 1 2 0
2;16;146;6 1 2 0 4 5 3 6
3;17;146;2 0 4 5 3 6 1 2
4;16;146;5 3 6 1 2 0 4 5
5;16;146;0 4 5 3 6 1 2 0
6;16;146;0 4 5 3 6 1 2 0
7;18;146;5 3 6 1 2 0 4 5
8;16;146;2 0 4 5 3 6 1 2
9;15;146;5 3 6 1 2 0 4 5
10;15;146;5 3 6 1 2 0 4 5
11;16;146;1 2 0 4 5 3 6 1
12;14;146;2 0 4 5 3 6 1 2
13;15;146;2 0 4 5 3 6 1 2
14;15;146;0 4 5 3 6 1 2 0
15;15;146;2 0 4 5 3 6 1 2
sredni czas [ms];;;
15;;;
;;;
;;;
plik:;g/gr8.txt;;
wynik optymalny:;162;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;113;162;6 4 5 3 0 1 2 7 6
2;113;162;0 1 2 7 6 4 5 3 0
3;116;162;0 1 2 7 6 4 5 3 0
4;113;162;4 5 3 0 1 2 7 6 4
5;123;162;4 5 3 0 1 2 7 6 4
6;116;162;6 4 5 3 0 1 2 7 6
7;115;162;4 5 3 0 1 2 7 6 4
8;119;162;6 4 5 3 0 1 2 7 6
9;114;162;7 6 4 5 3 0 1 2 7
10;115;162;2 7 6 4 5 3 0 1 2
11;113;162;5 3 0 1 2 7 6 4 5
12;113;162;7 6 4 5 3 0 1 2 7
13;113;162;3 0 1 2 7 6 4 5 3
14;115;162;2 7 6 4 5 3 0 1 2
15;114;162;1 2 7 6 4 5 3 0 1
sredni czas [ms];;;
115;;;
;;;
;;;
plik:;g/gr9.txt;;
wynik optymalny:;193;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;1026;193;5 6 4 3 0 1 2 7 8 5
2;1026;193;7 8 5 6 4 3 0 1 2 7
3;1034;193;3 0 1 2 7 8 5 6 4 3
4;1020;193;1 2 7 8 5 6 4 3 0 1
5;1014;193;6 4 3 0 1 2 7 8 5 6
6;1012;193;7 8 5 6 4 3 0 1 2 7
7;1016;193;7 8 5 6 4 3 0 1 2 7
8;1017;193;5 6 4 3 0 1 2 7 8 5
9;1028;193;0 1 2 7 8 5 6 4 3 0
10;1036;193;6 4 3 0 1 2 7 8 5 6
11;1025;193;7 8 5 6 4 3 0 1 2 7
12;1023;193;5 6 4 3 0 1 2 7 8 5
13;1017;193;4 3 0 1 2 7 8 5 6 4
14;1021;193;1 2 7 8 5 6 4 3 0 1
15;1018;193;5 6 4 3 0 1 2 7 8 5
sredni czas [ms];;;
1022;;;
;;;
;;;
plik:;g/gr10.txt;;
wynik optymalny:;209;;
liczba wierzcholkow:;10;;
iteracja;czas [ms];wynik;sciezka
1;10124;209;6 7 8 2 0 1 9 4 5 3 6
2;10148;209;7 8 2 0 1 9 4 5 3 6 7
3;10142;209;4 5 3 6 7 8 2 0 1 9 4
4;10180;209;9 4 5 3 6 7 8 2 0 1 9
5;10186;209;5 3 6 7 8 2 0 1 9 4 5
6;10144;209;9 4 5 3 6 7 8 2 0 1 9
7;10140;209;2 0 1 9 4 5 3 6 7 8 2
8;10135;209;1 9 4 5 3 6 7 8 2 0 1
9;10155;209;7 8 2 0 1 9 4 5 3 6 7
10;10142;209;2 0 1 9 4 5 3 6 7 8 2
11;10172;209;2 0 1 9 4 5 3 6 7 8 2
12;10121;209;7 8 2 0 1 9 4 5 3 6 7
13;10143;209;4 5 3 6 7 8 2 0 1 9 4
14;10114;209;9 4 5 3 6 7 8 2 0 1 9
15;10097;209;9 4 5 3 6 7 8 2 0 1 9
sredni czas [ms];;;
10142;;;
;;;
;;;
BADANIE;00:20:30;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=1, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr11.txt;;
wynik optymalny:;115;;
liczba wierzcholkow:;11;;
iteracja;czas [ms];wynik;sciezka
1;113406;115;3 0 7 1 8 5 10 2 6 9 4 3
sredni czas [ms];;;
113406;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;


BADANIE;01:09:31
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr6s.txt,g/gr7s.txt,g/gr8s.txt,g/gr9s.txt,g/gr10s.txt,g/gr11s.txt,g/gr12s.txt,g/gr13s.txt,g/gr14s.txt,g/gr15s.txt,g/gr16s.txt,g/gr17s.txt,g/gr18s.txt,g/gr19s.txt,g/gr20s.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6s.txt
wynik optymalny:;158
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;sciezka
1;2;158;3 0 5 1 4 2 3
2;1;158;0 3 2 4 1 5 0
3;1;158;5 0 3 2 4 1 5
4;1;158;3 0 5 1 4 2 3
5;1;158;3 0 5 1 4 2 3
6;0;158;5 0 3 2 4 1 5
7;0;158;0 3 2 4 1 5 0
8;1;158;5 0 3 2 4 1 5
9;0;158;4 2 3 0 5 1 4
10;0;158;3 0 5 1 4 2 3
11;0;158;0 3 2 4 1 5 0
12;0;158;3 0 5 1 4 2 3
13;1;158;1 5 0 3 2 4 1
14;0;158;3 0 5 1 4 2 3
15;0;158;3 0 5 1 4 2 3
sredni czas [ms]
0


plik:;g/gr7s.txt
wynik optymalny:;215
liczba wierzcholkow:;7
iteracja;czas [ms];wynik;sciezka
1;1;215;1 5 0 3 2 4 6 1
2;1;215;1 5 0 3 2 4 6 1
3;1;215;0 5 1 6 4 2 3 0
4;1;215;5 0 3 2 4 6 1 5
5;1;215;2 3 0 5 1 6 4 2
6;1;215;4 2 3 0 5 1 6 4
7;2;215;3 0 5 1 6 4 2 3
8;1;215;4 2 3 0 5 1 6 4
9;2;215;3 0 5 1 6 4 2 3
10;1;215;2 3 0 5 1 6 4 2
11;1;215;2 3 0 5 1 6 4 2
12;1;215;4 2 3 0 5 1 6 4
13;2;215;5 0 3 2 4 6 1 5
14;1;215;6 1 5 0 3 2 4 6
15;1;215;0 5 1 6 4 2 3 0
sredni czas [ms]
1


plik:;g/gr8s.txt
wynik optymalny:;202
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;sciezka
1;2;202;6 7 5 0 3 2 4 1 6
2;6;202;1 6 7 5 0 3 2 4 1
3;3;202;0 5 7 6 1 4 2 3 0
4;4;202;2 4 1 6 7 5 0 3 2
5;6;202;3 0 5 7 6 1 4 2 3
6;4;202;5 0 3 2 4 1 6 7 5
7;4;202;5 0 3 2 4 1 6 7 5
8;7;202;1 6 7 5 0 3 2 4 1
9;4;202;4 2 3 0 5 7 6 1 4
10;4;202;2 4 1 6 7 5 0 3 2
11;6;202;5 0 3 2 4 1 6 7 5
12;13;202;2 4 1 6 7 5 0 3 2
13;6;202;6 7 5 0 3 2 4 1 6
14;4;202;3 0 5 7 6 1 4 2 3
15;5;202;3 0 5 7 6 1 4 2 3
sredni czas [ms]
5


plik:;g/gr9s.txt
wynik optymalny:;215
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;sciezka
1;8;215;1 6 7 8 2 4 3 0 5 1
2;9;215;5 1 6 7 8 2 4 3 0 5
3;5;215;3 0 5 1 6 7 8 2 4 3
4;7;215;8 7 6 1 5 0 3 4 2 8
5;5;215;7 6 1 5 0 3 4 2 8 7
6;7;215;2 4 3 0 5 1 6 7 8 2
7;8;215;2 4 3 0 5 1 6 7 8 2
8;8;215;8 7 6 1 5 0 3 4 2 8
9;5;215;6 1 5 0 3 4 2 8 7 6
10;5;215;7 6 1 5 0 3 4 2 8 7
11;7;215;2 4 3 0 5 1 6 7 8 2
12;8;215;1 6 7 8 2 4 3 0 5 1
13;5;215;0 5 1 6 7 8 2 4 3 0
14;8;215;3 0 5 1 6 7 8 2 4 3
15;6;215;7 6 1 5 0 3 4 2 8 7
sredni czas [ms]
6


plik:;g/gr10s.txt
wynik optymalny:;212
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;10;212;0 5 1 9 6 7 8 2 4 3 0
2;13;212;9 1 5 0 3 4 2 8 7 6 9
3;13;212;1 9 6 7 8 2 4 3 0 5 1
4;15;212;5 1 9 6 7 8 2 4 3 0 5
5;14;212;4 2 8 7 6 9 1 5 0 3 4
6;10;212;7 8 2 4 3 0 5 1 9 6 7
7;15;212;4 2 8 7 6 9 1 5 0 3 4
8;12;212;8 7 6 9 1 5 0 3 4 2 8
9;9;212;0 5 1 9 6 7 8 2 4 3 0
10;11;212;7 8 2 4 3 0 5 1 9 6 7
11;10;212;0 5 1 9 6 7 8 2 4 3 0
12;14;212;2 8 7 6 9 1 5 0 3 4 2
13;11;212;6 7 8 2 4 3 0 5 1 9 6
14;28;212;2 8 7 6 9 1 5 0 3 4 2
15;15;212;4 2 8 7 6 9 1 5 0 3 4
sredni czas [ms]
13


plik:;g/gr11s.txt
wynik optymalny:;251
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;sciezka
1;9;251;4 8 1 0 10 3 5 7 9 2 6 4
2;7;251;2 6 4 8 1 0 10 3 5 7 9 2
3;6;251;5 3 10 0 1 8 4 6 2 9 7 5
4;10;251;7 9 2 6 4 8 1 0 10 3 5 7
5;7;251;2 6 4 8 1 0 10 3 5 7 9 2
6;6;251;10 0 1 8 4 6 2 9 7 5 3 10
7;10;251;9 7 5 3 10 0 1 8 4 6 2 9
8;10;251;1 8 4 6 2 9 7 5 3 10 0 1
9;9;251;4 8 1 0 10 3 5 7 9 2 6 4
10;11;251;8 4 6 2 9 7 5 3 10 0 1 8
11;11;251;8 4 6 2 9 7 5 3 10 0 1 8
12;10;251;1 8 4 6 2 9 7 5 3 10 0 1
13;9;251;4 8 1 0 10 3 5 7 9 2 6 4
14;7;251;2 6 4 8 1 0 10 3 5 7 9 2
15;6;251;5 3 10 0 1 8 4 6 2 9 7 5
sredni czas [ms]
8


plik:;g/gr12s.txt
wynik optymalny:;264
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;sciezka
1;8;264;0 1 8 4 6 2 11 9 7 5 3 10 0
2;8;264;2 6 4 8 1 0 10 3 5 7 9 11 2
3;16;264;9 11 2 6 4 8 1 0 10 3 5 7 9
4;11;264;4 6 2 11 9 7 5 3 10 0 1 8 4
5;11;264;8 4 6 2 11 9 7 5 3 10 0 1 8
6;10;264;1 8 4 6 2 11 9 7 5 3 10 0 1
7;9;264;11 2 6 4 8 1 0 10 3 5 7 9 11
8;16;264;9 11 2 6 4 8 1 0 10 3 5 7 9
9;8;264;11 2 6 4 8 1 0 10 3 5 7 9 11
10;15;264;9 11 2 6 4 8 1 0 10 3 5 7 9
11;16;264;9 11 2 6 4 8 1 0 10 3 5 7 9
12;7;264;3 5 7 9 11 2 6 4 8 1 0 10 3
13;9;264;1 8 4 6 2 11 9 7 5 3 10 0 1
14;11;264;6 4 8 1 0 10 3 5 7 9 11 2 6
15;6;264;3 5 7 9 11 2 6 4 8 1 0 10 3
sredni czas [ms]
10


plik:;g/gr13s.txt
wynik optymalny:;269
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;sciezka
1;17;269;2 6 4 8 1 12 0 10 3 5 7 9 11 2
2;12;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
3;24;269;4 8 1 12 0 10 3 5 7 9 11 2 6 4
4;10;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
5;19;269;11 2 6 4 8 1 12 0 10 3 5 7 9 11
6;24;269;8 1 12 0 10 3 5 7 9 11 2 6 4 8
7;9;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
8;18;269;4 8 1 12 0 10 3 5 7 9 11 2 6 4
9;20;269;11 2 6 4 8 1 12 0 10 3 5 7 9 11
10;28;269;6 2 11 9 7 5 3 10 0 12 1 8 4 6
11;19;269;4 8 1 12 0 10 3 5 7 9 11 2 6 4
12;20;269;7 9 11 2 6 4 8 1 12 0 10 3 5 7
13;15;269;1 12 0 10 3 5 7 9 11 2 6 4 8 1
14;21;269;11 2 6 4 8 1 12 0 10 3 5 7 9 11
15;10;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
sredni czas [ms]
17


plik:;g/gr14s.txt
wynik optymalny:;282
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;sciezka
1;44;282;3 10 0 12 1 8 4 6 2 11 13 9 7 5 3
2;58;282;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
3;58;282;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
4;67;282;2 6 4 8 1 12 0 10 3 5 7 9 13 11 2
5;58;282;7 5 3 10 0 12 1 8 4 6 2 11 13 9 7
6;77;282;8 1 12 0 10 3 5 7 9 13 11 2 6 4 8
7;65;282;12 1 8 4 6 2 11 13 9 7 5 3 10 0 12
8;68;282;0 12 1 8 4 6 2 11 13 9 7 5 3 10 0
9;38;282;13 11 2 6 4 8 1 12 0 10 3 5 7 9 13
10;62;282;10 0 12 1 8 4 6 2 11 13 9 7 5 3 10
11;72;282;1 8 4 6 2 11 13 9 7 5 3 10 0 12 1
12;66;282;12 1 8 4 6 2 11 13 9 7 5 3 10 0 12
13;57;282;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
14;70;282;2 6 4 8 1 12 0 10 3 5 7 9 13 11 2
15;65;282;0 12 1 8 4 6 2 11 13 9 7 5 3 10 0
sredni czas [ms]
61


plik:;g/gr15s.txt
wynik optymalny:;291
liczba wierzcholkow:;15
iteracja;czas [ms];wynik;sciezka
1;166;291;1 12 0 10 3 5 7 9 13 11 2 6 4 8 14 1
2;123;291;5 7 9 13 11 2 6 4 8 14 1 12 0 10 3 5
3;160;291;8 14 1 12 0 10 3 5 7 9 13 11 2 6 4 8
4;145;291;9 13 11 2 6 4 8 14 1 12 0 10 3 5 7 9
5;100;291;13 11 2 6 4 8 14 1 12 0 10 3 5 7 9 13
6;164;291;8 14 1 12 0 10 3 5 7 9 13 11 2 6 4 8
7;149;291;10 0 12 1 14 8 4 6 2 11 13 9 7 5 3 10
8;100;291;13 11 2 6 4 8 14 1 12 0 10 3 5 7 9 13
9;150;291;9 13 11 2 6 4 8 14 1 12 0 10 3 5 7 9
10;161;291;8 14 1 12 0 10 3 5 7 9 13 11 2 6 4 8
11;126;291;5 7 9 13 11 2 6 4 8 14 1 12 0 10 3 5
12;101;291;11 2 6 4 8 14 1 12 0 10 3 5 7 9 13 11
